2013-05-17 07:15:09.238184989
2013-05-17 07:15:10.845699906
2013-05-17 07:15:12.453174591
2013-05-17 07:15:14.060649276
2013-05-17 07:15:15.668123960
2013-05-17 07:15:17.275638878
2013-05-17 07:15:18.883113563
2013-05-17 07:15:20.490588248
2013-05-17 07:15:22.098103166
2013-05-17 07:15:23.705577850
2013-05-17 07:15:25.313052535
2013-05-17 07:15:26.920527220
2013-05-17 07:15:28.528042138
2013-05-17 07:15:30.135516822
2013-05-17 07:15:31.742991507
2013-05-17 07:15:33.350466192
2013-05-17 07:15:34.957981110
2013-05-17 07:15:36.565455794
2013-05-17 07:15:38.172930479
2013-05-17 07:15:39.780405164
2013-05-17 07:15:41.387920082
2013-05-17 07:15:42.995394766
2013-05-17 07:15:44.602869451
2013-05-17 07:15:46.210344136
2013-05-17 07:15:47.817859054
2013-05-17 07:15:49.425333738
2013-05-17 07:15:51.032808423
2013-05-17 07:15:52.640283108
2013-05-17 07:15:54.247798026
2013-05-17 07:15:55.855272710
2013-05-17 07:15:57.462747395
2013-05-17 07:15:59.070222080
2013-05-17 07:16:00.677736998
2013-05-17 07:16:02.285211682
2013-05-17 07:16:03.892686367
2013-05-17 07:16:05.500161052
2013-05-17 07:16:07.107675970
2013-05-17 07:16:08.715150654
2013-05-17 07:16:10.322625339
2013-05-17 07:16:11.930140257
2013-05-17 07:16:13.537614942
2013-05-17 07:16:15.145089626
2013-05-17 07:16:16.752564311
2013-05-17 07:16:18.360079229
2013-05-17 07:16:19.967553914
2013-05-17 07:16:21.575028598
2013-05-17 07:16:23.182503283
2013-05-17 07:16:24.790018201
2013-05-17 07:16:26.397492886
2013-05-17 07:16:28.004967570
2013-05-17 07:16:29.612442255
2013-05-17 07:16:31.219957173
2013-05-17 07:16:32.827431858
2013-05-17 07:16:34.434906542
2013-05-17 07:16:36.042381227
2013-05-17 07:16:37.649896145
2013-05-17 07:16:39.257370830
2013-05-17 07:16:40.864845514
2013-05-17 07:16:42.472320199
2013-05-17 07:16:44.079835117
2013-05-17 07:16:45.687309802
2013-05-17 07:16:47.294784486
2013-05-17 07:16:48.902259171
2013-05-17 07:16:50.509774089
2013-05-17 07:16:52.117248774
2013-05-17 07:16:53.724723458
2013-05-17 07:16:55.332198143
2013-05-17 07:16:56.939713061
2013-05-17 07:16:58.547187746
2013-05-17 07:17:00.154662430
2013-05-17 07:17:01.762137115
2013-05-17 07:17:03.369652033
2013-05-17 07:17:04.977126718
2013-05-17 07:17:06.584601402
2013-05-17 07:17:08.192076087
2013-05-17 07:17:09.799591005
2013-05-17 07:17:11.407065690
2013-05-17 07:17:13.014540374
2013-05-17 07:17:14.622055292
2013-05-17 07:17:16.229529977
2013-05-17 07:17:17.837004662
2013-05-17 07:17:19.444479346
2013-05-17 07:17:21.051994264
2013-05-17 07:17:22.659468949
2013-05-17 07:17:24.266943634
2013-05-17 07:17:25.874418318
2013-05-17 07:17:27.481933236
2013-05-17 07:17:29.089407921
2013-05-17 07:17:30.696882606
2013-05-17 07:17:32.304357290
2013-05-17 07:17:33.911872208
2013-05-17 07:17:35.519346893
2013-05-17 07:17:37.126821578
2013-05-17 07:17:38.734296262
2013-05-17 07:17:40.341811180
2013-05-17 07:17:41.949285865
2013-05-17 07:17:43.556760550
2013-05-17 07:17:45.164235234
2013-05-17 07:17:46.771750152
2013-05-17 07:17:48.379224837
2013-05-17 07:17:49.986699522
2013-05-17 07:17:51.594174206
2013-05-17 07:17:53.201689124
2013-05-17 07:17:54.809163809
2013-05-17 07:17:56.416638494
2013-05-17 07:17:58.024113178
2013-05-17 07:17:59.631628096
2013-05-17 07:18:01.239102781
2013-05-17 07:18:02.846577466
